"Gezonde levensverwachting, opleidingsniveau"
"","","","Onderwerpen","Levensverwachting","Levensverwachting","Levensverwachting","Levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting","Gezonde levensverwachting"
"","","","Onderwerpen","Levensverwachting","Levensverwachting","Levensverwachting","Levensverwachting","Levensverw. in als goed ervaren gezondh.","Levensverw. in als goed ervaren gezondh.","Levensverw. in als goed ervaren gezondh.","Levensverw. in als goed ervaren gezondh.","Levensverw. zonder lich. beperkingen","Levensverw. zonder lich. beperkingen","Levensverw. zonder lich. beperkingen","Levensverw. zonder lich. beperkingen","Levensverw. zonder chronische ziektes","Levensverw. zonder chronische ziektes","Levensverw. zonder chronische ziektes","Levensverw. zonder chronische ziektes","Levensverw. in goede geestelijke gezondh","Levensverw. in goede geestelijke gezondh","Levensverw. in goede geestelijke gezondh","Levensverw. in goede geestelijke gezondh"
"","","","Opleidingsniveau","Basisonderwijs","Vmbo","Havo, vwo, mbo","Hbo, universiteit","Basisonderwijs","Vmbo","Havo, vwo, mbo","Hbo, universiteit","Basisonderwijs","Vmbo","Havo, vwo, mbo","Hbo, universiteit","Basisonderwijs","Vmbo","Havo, vwo, mbo","Hbo, universiteit","Basisonderwijs","Vmbo","Havo, vwo, mbo","Hbo, universiteit"
"Leeftijd","Geslacht","Cijfersoort","Perioden","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren","jaren"
"20 jaar","Mannen","Aantal jaren","1997/2005","53.2","55.4","57.7","59.7","33.7","41.8","45.6","50.5","43.2","48.3","51.6","55.3","28.3","30.4","32.2","35.3",".",".",".","."
"20 jaar","Mannen","Aantal jaren","1997/2000","52.1","54.8","57.2","59.3","34.2","42.0","45.2","50.6","42.6","48.4","51.2","55.1","28.1","31.6","33.6","35.8",".",".",".","."
"20 jaar","Mannen","Aantal jaren","2001/2004","53.3","55.8","58.0","59.9","33.6","41.5","45.7","50.1","41.9","47.5","51.5","55.2","27.9","29.9","31.9","34.8","44.2","50.5","53.9","56.6"
"20 jaar","Mannen","Aantal jaren","2005/2008","55.0","57.2","59.1","62.0","35.0","42.0","46.8","53.7","43.6","48.6","52.6","57.3","26.6","29.5","30.4","35.2","47.2","51.8","55.3","58.9"
"20 jaar","Mannen","Aantal jaren","2007/2010","55.0","58.2","59.8","62.2","35.1","43.2","47.1","54.0","44.5","48.1","53.2","57.1","25.0","28.8","30.4","35.6","48.9","52.5","56.2","58.5"
"20 jaar","Mannen","Aantal jaren","2009/2012","56.0","58.9","60.4","62.4","34.7","42.9","47.7","52.7","42.9","49.8","53.2","56.9","25.1","28.7","30.2","35.3","46.4","52.7","55.6","58.5"
"20 jaar","Mannen","Aantal jaren","2011/2014","57.3","59.1","60.6","63.0","34.7","43.0","47.0","52.9","44.3","50.1","53.3","57.5","24.5","29.5","30.4","34.8","48.7","53.0","55.8","58.8"
"20 jaar","Vrouwen","Aantal jaren","1997/2005","58.9","61.9","64.2","64.2","34.4","43.6","47.4","50.9","41.5","49.5","52.4","54.8","22.8","26.1","27.2","29.5",".",".",".","."
"20 jaar","Vrouwen","Aantal jaren","1997/2000","59.0","61.1","64.7","65.3","35.3","43.5","46.9","52.8","41.9","48.8","51.1","55.0","23.9","27.8","29.5","31.2",".",".",".","."
"20 jaar","Vrouwen","Aantal jaren","2001/2004","58.6","62.1","64.2","64.1","32.6","43.6","47.8","49.8","40.3","49.3","53.0","54.4","21.3","24.9","25.7","28.5","45.8","52.5","56.8","57.8"
"20 jaar","Vrouwen","Aantal jaren","2005/2008","59.5","63.2","65.4","65.7","34.5","43.3","48.7","54.2","41.1","49.1","53.1","55.9","21.5","22.9","26.5","29.6","47.1","53.5","58.0","60.6"
"20 jaar","Vrouwen","Aantal jaren","2007/2010","60.1","63.9","65.2","66.2","35.5","43.4","49.4","54.2","42.1","48.7","53.5","55.7","20.8","23.3","24.5","30.4","47.7","54.6","58.1","61.3"
"20 jaar","Vrouwen","Aantal jaren","2009/2012","60.7","63.8","65.6","66.5","34.9","43.7","47.8","53.3","41.9","49.4","53.6","58.4","20.3","23.4","23.5","28.6","48.5","54.5","57.1","60.2"
"20 jaar","Vrouwen","Aantal jaren","2011/2014","60.9","63.6","65.6","67.2","34.2","42.4","48.0","53.0","41.0","48.6","53.6","57.9","20.3","23.4","23.8","28.3","47.8","54.2","57.9","60.9"
"65 jaar","Mannen","Aantal jaren","1997/2005","13.9","15.0","16.3","17.5","7.2","9.2","10.2","12.8","9.3","11.0","12.4","14.4","4.1","4.8","4.8","5.6",".",".",".","."
"65 jaar","Mannen","Aantal jaren","1997/2000","13.3","14.5","16.0","17.4","7.4","9.1","10.0","13.0","9.1","11.1","12.1","14.5","4.3","5.1","5.5","5.3",".",".",".","."
"65 jaar","Mannen","Aantal jaren","2001/2004","13.9","15.4","16.7","17.8","6.8","9.3","10.4","12.3","9.0","10.4","12.4","14.4","3.9","4.7","4.5","5.8","12.1","13.9","15.3","16.9"
"65 jaar","Mannen","Aantal jaren","2005/2008","15.4","16.4","17.5","19.5","7.8","9.9","11.0","15.3","10.0","11.7","13.4","15.9","3.5","4.6","3.7","5.9","13.5","15.1","16.5","18.6"
"65 jaar","Mannen","Aantal jaren","2007/2010","15.5","17.1","18.2","19.6","8.2","10.1","10.8","15.3","10.6","11.5","14.0","15.5","3.7","4.2","4.6","5.6","13.8","15.1","17.2","18.6"
"65 jaar","Mannen","Aantal jaren","2009/2012","16.2","17.6","18.5","19.6","8.5","10.6","12.2","14.0","10.5","13.2","14.2","15.9","3.2","4.0","4.4","5.6","13.9","16.3","17.1","18.7"
"65 jaar","Mannen","Aantal jaren","2011/2014","17.1","17.8","18.6","20.3","8.5","10.5","11.6","14.4","11.4","13.3","14.2","16.1","2.8","4.0","4.2","5.5","15.4","16.2","17.2","19.3"
"65 jaar","Vrouwen","Aantal jaren","1997/2005","18.2","20.1","21.8","21.4","8.1","11.4","13.1","14.4","9.0","12.1","13.5","14.1","4.1","4.8","4.7","5.4",".",".",".","."
"65 jaar","Vrouwen","Aantal jaren","1997/2000","18.2","19.4","22.5","22.5","8.2","11.0","12.7","16.3","9.0","11.7","12.6","14.1","4.9","5.2","5.4","7.1",".",".",".","."
"65 jaar","Vrouwen","Aantal jaren","2001/2004","18.0","20.4","21.9","21.4","8.3","11.6","13.8","13.9","8.8","11.9","13.9","13.8","3.7","4.5","4.5","4.9","13.8","17.0","19.5","19.5"
"65 jaar","Vrouwen","Aantal jaren","2005/2008","18.7","21.4","22.9","22.8","8.5","12.2","13.8","16.5","9.0","13.2","13.9","14.7","3.0","3.9","4.4","4.2","15.2","17.9","20.2","21.2"
"65 jaar","Vrouwen","Aantal jaren","2007/2010","19.1","22.0","22.6","23.1","8.9","12.4","14.1","16.9","9.5","13.1","14.0","14.3","3.1","4.4","3.4","5.4","15.6","18.3","19.5","21.8"
"65 jaar","Vrouwen","Aantal jaren","2009/2012","19.5","21.8","22.9","23.3","8.8","12.0","13.7","15.7","10.0","13.6","15.0","17.5","3.3","3.8","3.5","4.3","15.6","18.7","19.5","21.2"
"65 jaar","Vrouwen","Aantal jaren","2011/2014","19.8","21.5","22.9","23.9","8.9","11.2","14.4","15.7","10.2","13.0","15.5","17.1","3.6","3.2","3.8","4.0","16.4","18.6","20.5","22.1"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 25-6-2016"
